Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";"Springer International Publishing AG";Yes;Yes;14,562;Q1;101;6;15;2536;780;15;55,55;422,67;16,39;0;0;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2025";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
2;21101151587;"eLight";journal;"26628643, 20971710";"Springer";Yes;Yes;11,392;Q1;32;22;54;1642;1717;52;31,89;74,64;31,09;0;1;Singapore;Asiatic Region;"Springer";"2021-2025";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)";"Materials Science; Physics and Astronomy"
3;19700173023;"Living Reviews in Solar Physics";journal;"16144961, 23673648";"Springer International Publishing AG";Yes;Yes;7,431;Q1;74;1;10;804;268;10;30,29;804,00;0,00;0;0;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2024";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy"
4;21101186818;"Organization Theory";journal;"26317877";"SAGE Publications Ltd";Yes;Yes;6,872;Q1;33;16;77;1467;851;75;8,00;91,69;48,57;0;2;United Kingdom;Western Europe;"SAGE Publications Ltd";"2020-2024";"Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
5;21101142543;"Nano Research Energy";journal;"27910091, 27908119";"Tsinghua University Press";Yes;Yes;6,160;Q1;40;46;81;3942;1888;77;23,31;85,70;33,08;0;30;China;Asiatic Region;"Tsinghua University Press";"2022-2024";"Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)";"Chemistry; Energy; Materials Science"
6;21100455629;"Military Medical Research";journal;"20549369, 20957467";"BioMed Central Ltd";Yes;Yes;4,206;Q1;53;82;206;9291;3330;160;17,83;113,30;35,53;0;27;United Kingdom;Western Europe;"BioMed Central Ltd";"2014-2025";"Medicine (miscellaneous) (Q1)";"Medicine"
7;21100466714;"International Journal of Educational Technology in Higher Education";journal;"23659440";"Springer Netherlands";Yes;Yes;3,912;Q1;77;64;189;4480;4081;185;22,57;70,00;46,88;6;22;Netherlands;Western Europe;"Springer Netherlands";"2016-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
8;21100447118;"Mycosphere";journal;"20777019, 20777000";"Zhongkai University";Yes;Yes;3,903;Q1;47;29;71;11282;1136;70;16,72;389,03;37,64;0;2;China;Asiatic Region;"Zhongkai University";"2014-2025";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences"
9;21101107327;"Energy Material Advances";journal;"26927640";"American Association for the Advancement of Science";Yes;Yes;3,415;Q1;29;46;102;2875;1370;101;13,76;62,50;31,77;0;24;United States;Northern America;"American Association for the Advancement of Science";"2020-2025";"Energy (miscellaneous) (Q1); Fuel Technology (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
10;21100900364;"Protection and Control of Modern Power Systems";journal;"23670983, 23672617";"Institute of Electrical and Electronics Engineers Inc.";Yes;Yes;3,398;Q1;57;38;156;1749;2082;156;14,39;46,03;31,95;0;24;Singapore;Asiatic Region;"Institute of Electrical and Electronics Engineers Inc.";"2018-2024";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Safety, Risk, Reliability and Quality (Q1)";"Energy; Engineering"
